"","marianne","karen","year"
"1",0.0641176470588235,0.0924989639452963,1937
"2",0.0752808988764045,0.180608974358974,1938
"3",0.101104972375691,0.224736415247364,1939
"4",0.109189189189189,0.284603360687769,1940
"5",0.124175824175824,0.400665926748058,1941
"6",0.178947368421053,0.514754098360656,1942
"7",0.258851674641148,0.541752577319588,1943
"8",0.285,0.54246342293297,1944
"9",0.269047619047619,0.548565430370889,1945
"10",0.361619718309859,0.57596012899443,1946
"11",0.349812734082397,0.567146974063401,1947
"12",0.351209677419355,0.604784162771515,1948
"13",0.388559322033898,0.615702932310222,1949
"14",0.384347826086957,0.664537444933921,1950
"15",0.383771929824561,0.732931937172775,1951
"16",0.358189655172414,0.740828856485034,1952
"17",0.385964912280702,0.754054054054054,1953
"18",0.403070175438596,0.79719970523213,1954
"19",0.40174672489083,0.810788381742739,1955
"20",0.383982683982684,0.951235154394299,1956
"21",0.387179487179487,0.943860465116279,1957
"22",0.354852320675105,0.905864342910975,1958
"23",0.336625514403292,0.866378502052867,1959
"24",0.33765690376569,0.854421832615052,1960
"25",0.288259109311741,0.812894797632608,1961
"26",0.283739837398374,0.844275107370082,1962
"27",0.292,0.792699889214792,1963
"28",0.272111553784861,0.751013658631058,1964
"29",0.251836734693878,0.874172086806629,1965
"30",0.226666666666667,0.705603623019216,1966
"31",0.21255230125523,0.611765146938661,1967
"32",0.20168776371308,0.558550407760646,1968
"33",0.185483870967742,0.489916410338742,1969
"34",0.173221757322176,0.447581676084972,1970
"35",0.14625550660793,0.399581548775721,1971
"36",0.130841121495327,0.343173405687619,1972
"37",0.124615384615385,0.298218182223901,1973
"38",0.144623655913978,0.273769461492843,1974
"39",0.101123595505618,0.259716468237687,1975
"40",0.123728813559322,0.23691610675967,1976
"41",0.121387283236994,0.223769866940497,1977
"42",0.114772727272727,0.19116311595879,1978
"43",0.132571428571429,0.160285119210805,1979
"44",0.134254143646409,0.139912486871093,1980
"45",0.153631284916201,0.124984914188598,1981
"46",0.119186046511628,0.112863965231161,1982
"47",0.128823529411765,0.104123928635125,1983
"48",0.117241379310345,0.0963985848458808,1984
"49",0.11123595505618,0.0834715884146009,1985
"50",0.0983783783783784,0.0745365358133413,1986
