"","yvonne","karen","year"
"1",0.0662921348314607,0.180608974358974,1938
"2",0.0740331491712707,0.224736415247364,1939
"3",0.074054054054054,0.284603360687769,1940
"4",0.0994505494505494,0.400665926748058,1941
"5",0.104736842105263,0.514754098360656,1942
"6",0.184688995215311,0.541752577319588,1943
"7",0.218636363636364,0.54246342293297,1944
"8",0.182380952380952,0.548565430370889,1945
"9",0.27887323943662,0.57596012899443,1946
"10",0.306741573033708,0.567146974063401,1947
"11",0.318951612903226,0.604784162771515,1948
"12",0.310593220338983,0.615702932310222,1949
"13",0.357391304347826,0.664537444933921,1950
"14",0.428947368421053,0.732931937172775,1951
"15",0.461206896551724,0.740828856485034,1952
"16",0.493859649122807,0.754054054054054,1953
"17",0.536842105263158,0.79719970523213,1954
"18",0.578602620087336,0.810788381742739,1955
"19",0.632034632034632,0.951235154394299,1956
"20",0.658119658119658,0.943860465116279,1957
"21",0.683122362869198,0.905864342910975,1958
"22",0.75679012345679,0.866378502052867,1959
"23",0.749372384937238,0.854421832615052,1960
"24",0.792307692307692,0.812894797632608,1961
"25",0.747967479674797,0.844275107370082,1962
"26",0.7352,0.792699889214792,1963
"27",0.6800796812749,0.751013658631058,1964
"28",0.639183673469388,0.874172086806629,1965
"29",0.613333333333333,0.705603623019216,1966
"30",0.589958158995816,0.611765146938661,1967
"31",0.581856540084388,0.558550407760646,1968
"32",0.53991935483871,0.489916410338742,1969
"33",0.517573221757322,0.447581676084972,1970
"34",0.412775330396476,0.399581548775721,1971
"35",0.378504672897196,0.343173405687619,1972
"36",0.318461538461538,0.298218182223901,1973
"37",0.273655913978495,0.273769461492843,1974
"38",0.265730337078652,0.259716468237687,1975
"39",0.242937853107345,0.23691610675967,1976
"40",0.245664739884393,0.223769866940497,1977
"41",0.3,0.19116311595879,1978
"42",0.269714285714286,0.160285119210805,1979
"43",0.244198895027624,0.139912486871093,1980
"44",0.241899441340782,0.124984914188598,1981
"45",0.218023255813953,0.112863965231161,1982
"46",0.201764705882353,0.104123928635125,1983
"47",0.21551724137931,0.0963985848458808,1984
"48",0.175842696629213,0.0834715884146009,1985
"49",0.191351351351351,0.0745365358133413,1986
"50",0.167914438502674,0.067779809597012,1987
"51",0.203208556149733,0.0656604024545275,1988
"52",0.179365079365079,0.0682263958200011,1989
"53",0.128787878787879,0.0653165350876771,1990
"54",0.128643216080402,0.0632220578086539,1991
"55",0.102030456852792,0.0679702456129302,1992
